"crashid","OnLocStreet","AtLocStreet"
"0090031498","CST WHITEGATE","CST TOWNE"
"0090078820","CRD ST CHARLES RD","CRD PLAYER PL"
"0090061591","CST FORUM","CST MILLS"
"0090061643","CST PARKHILL AVE","CST PARKWAY E"
"0090073035","CST LEXIBELLE DR","CST BAY HILLS DR"
"0090073085","CST MAPLE GROVE WAY","CST BETHEL ST"
"0090062460","CST FOREST AVE","CST GARTH AVE"
"0090072740","CST DUBLIN","CST SARDIS"
"0090073067","CST FAIRVIEW","CST ASH"
"0090073105","CST CONLEY RD","CST BRICKTON RD"
"0090067104","PP BROADWAY BUS PARKING PKLT","CST BROADWAY BUSINESS PARK CT"
"0090067120","CST MEXICO GRAVEL RD","CST HINKSON CREEK RD"
"0090067167","CST BLUE RIDGE RD","PP BLUE RIDGE RD"
"0090053857","CST VANDIVER","CST OAKLAND GRAVEL"
"0090075774","CST SIXTH ST","CST WILKES BLVD"
"0090078914","CST CHAPEL HILL","CST FAIRVIEW"
"0090089222","CST PROVIDENCE OUTER RD","CST PEACH WAY"
"0090089237","CST ROCK QUARRY","CST STAGS WAY"
"0090057206","CST ST CHRISTOPHER","CST ST CHRISTOPHER"
"0090072852","CRD SANDALWOOD CT","CST ROLLINGWOOD BLVD"
"0090073103","CST BROADWAY BLUFFS DR","CST TRIMBLE RD"
"0090078297","CST BLUE RIDGE","CST LOVE JOY"
"0090081353","CST ASHLAND RD","PVT BIRCH DR"
"0090094102","CST ST CHARLES RD","CST DORADO"
"0090078894","CST BLACKFOOT RD","CST CEDAR CLIFF DR"
"0090082107","CST OREAR RD","PP OREAR RD"
"0090095841","CST ROLLINS ST","CST HITT ST"
"0090061642","CST ASH ST","CST FAIRVIEW RD"
"0090086431","CST CURRITUCK LN","CST GREENSBORO DR"
"0090086464","CST TENTH ST","CST ROGERS ST"
"0090097748","PVT CHAMPIONS DR","MO 163"
"0090085787","CST ROLLINS ST","CST HITT ST"
"0090083587","CST GILLESPIE BRIDGE RD","CST CHAPEL HILL RD"
"0090083597","CST FAIRVIEW","CST ASH"
"0090083603","CST EIGHTH","CST LOCUST"
"0090067121","CST NEW HAVEN AVE","CST LEMONE INDUSTRIAL BLVD"
"0090078895","CST COTTONWOOD CT","CST THOMPSON RD"
"0090089230","CST MCBAINE AVE","CST LYNN ST"
"0090089251","CST HILLSIDE DR","CST BROADWAY ST W"
"0090040439","CST RANGE LINE ST","LP 70 E"
"0090086391","CST OLD HWY 63","CST WALNUT ST E"
"0090086426","CST CHAPEL HILL RD","CST MILLS RD"
"0090086467","CST WORLEY","CST HARDIN"
"0090083615","CST AZTEC BLVD","CST CHEROKEE LN"
"0090083643","CST OVERHILL","CST RIDGEMONT"
"0090073066","CST FORUM BLVD","PVT MKT TRAIL"
"0090073098","CST FORUM","PVT MKT TRAIL"
"0090041482","CST WORLEY ST","CST ALEXANDER ST"
"0090104798","CST CLARK LN","PP PARIS RD"
"0090094110","CST WILKES BLVD","CST FOURTH ST"
"0090105606","CST CHAPEL HILL RD","CST CHAPEL PLAZA CT"
"0090041705","CRD SMITH HATCHERY RD","PP SMITH HATCHERY RD"
"0090106194","CST SEXTON","CST MCBAINE"
"0090106486","CST ANN ST","CST MCALESTER ST"
"0090094171","CST DERBY RIDGE","CST SMILEY"
"0090089247","CST GRAND AVE","CST FOURTH AVE"
"0090095852","CST RICHMOND AVE","CST ROLLINS ST"
"0090086446","CST BOURN AVE","CST ROLLINS RD"
"0090078823","CRD EASLEY RIVER RD","CRD SMITH HATHERY RD"
"0090089038","CST ST CHARLES","CST DORADO"
"0090089245","CST LOCUST","MO 764"
"0090089262","CST CONLEY RD","US 63C"
"0090089274","CST CHAPEL HILL","CST SUNBOROUGH"
"0090094156","CST BROWN STATION","CST JENNE HILL"
"0090098787","CST WORLEY ST","CST MCBAINE AVE"
"0090111289","CST HIGH","CST WILSON"
"0090095847","CST BURNAM RD","CST CURTIS ST"
"0090095855","CST HITT","PVT HOSPITAL"
"0090114330","CRD CREASY SPRINGS RD","CRD ROEMER RD"
"0090114551","CST OLD HWY 63","CST WALNUT"
"0090104795","CST LENOIR DR","RT AC"
"0090106378","CST ELLETA BLVD","CST JOLENE DR"
"0090106396","CRD PRATHERSVILLE RD","CST ROGER I WILSON MEMORIAL DR"
"0090106411","CST BROADWAY BLUFFS DR","CST BRICKTON RD"
"0090103261","CRD OAKLAND GRAVEL RD","CRD BOATMANS HILL RD"
"0090104789","CST WORLEY ST","CST PARK DR VILLE DR"
"0090104792","CST FALLING LEAF LN","CST BLUFF CREEK DR"
"0090086470","CST ROCK QUARRY","CST ROLLING ROCK"
"0090109585","CST DEMARET","UNKNOWN"
"0090120549","CST CHAPEL HILL","CST TALENT"
"0090105591","CST RAIN FOREST PKWY","CST WHITE TIGER ST"
"0090110155","CST RANGELINE","CRD RICHLAND RD"
"0090110888","CST ST CHARLES","CST KEENE ST"
"0090106389","CST PRESCOTT DR","CST HARBOR PARK"
"0090106421","CST MILLBROOK DR","CST SCOTT BLVD"
"0090111311","CST BUTTONWOOD DR","CST GRAY OAK DR"
"0090102060","CST VANDIVER DR","CST BASS PRO DR"
"0090102075","CST BETHEL","CST SOUTHAMPTON"
"0090089039","CST FORUM BLVD","CST MILLS"
"0090089042","CST GARTH","CST FOREST"
"0090089226","CST DEFOE DR","CST FAUROT DR"
"0090103258","CST ROCK QUARRY RD","MO 163"
"0090113163","CST UNIVERSITY AVE","PP HILLEL FOUNDATION PKLT"
"0090114541","CST CREASY SPRINGS","CST PRAIRIE"
"0090114235","CST BRICKTON","CST CONLEY"
"0090125146","CST VANDIVER DR","CST BASS PRO DR"
"0090110873","CST SEVENTH ST","CST ALTON AVE"
"0090106383","CST OLD HWY 63","CST STONE HILL DR"
"0090090786","CST OLD PLANK","CST BETHEL CHURCH RD"
"0090111286","CST WORLEY ST","CST HARDIN ST"
"0090111295","CST MOSS ST","CST GORDON ST"
"0090048641","CST SOUTHAMPTON DR","CST EXECUTIVE DR"
"0090113157","CST SIXTH ST","PP LOT RC4"
"0090094136","CST ROCK QUARRY","CST STAGS WAY"
"0090120535","CST VASSAR","CST COLLEGE PARK"
"0090112387","CST SIXTH ST","PVT PARKER HALL DR"
"0090120153","CRD BEN WILLIAMS RD","PP BEN WILLIAMS RD"
"0090113058","CRD OLD MILL CREEK RD","CRD APPLWOOD CREEK RD"
"0090120523","CST TENTH ST","CST BROADWAY ST"
"0090122437","CST AMAZON DR","CST SQUIRREL DR"
"0090125149","CST SCOTT BLVD","CRD BRUSHWOOD LAKE RD"
"0090125151","CST KENWOOD DR","CST LYMAN DR"
"0090125161","CST TADLEY ST","CST CRAYDON DR"
"0090120528","CST MERCHANT","CST CORONA"
"0090124634","CRD SCOTTS BLVD","CST COPPERSTONE CREEK DR"
"0090125141","CST OLD PLANK","CST HICKAM DR"
"0090125158","CST THIRD AVE","CST GRAND AVE"
"0090119650","CST ROCK QUARRY RD","CST STAGS WAY"
"0090120140","CRD RICHLAND RD","CST BAY HILLS DR"
"0090120520","CST OLYMPIC BLVD","CST ATHENS CT"
"0090125157","CST FAIRVIEW RD","CST WORLEY ST"
"0090125171","CST QUAIL DR","CST WHITEGATE"
"0090106376","CST ROGERS ST","CST TENTH ST N"
"0090106414","CST ELM ST","CST WATSON PL"
"0090106425","CST OLD HWY 63","CST CHINABERRY"
"0090110847","CST SOUTHAMPTON","CST EXECUTIVE"
"0090110897","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0090057214","CST DEFOE DR","RT TT"
"0090112392","CST MARYLAND","CST ROLLINS"
"0090114518","CST CREASY SPRINGS","CST PRAIRIE VIEW DR"
"0090114544","CST PANORAMA","CST ALPINE RIDGE"
"0090118161","CRD ST CHARLES RD","CST BULL RUN DR"
"0090122434","CST FENTON","CST ONEAL RD"
"0090061666","CST BRISTOL LAKE DR","CST RUTHERFORD DR"
"0090125122","CRD AIRPORT DR","CRD ANGEL LN"
"3090016375","CST PONDEROSA ST","CRD BROCK RODGERS RD E"
"0090072742","CST DAY FLOWER CT","CST SHAD BUSH CT"
"0090073040","CST VANDIVER DR","CST CENTERSTATE DR"
"0090073072","CST MESA","CST SCOTT"
"0090073094","CST HIGHRIDGE DR","CST SHANNON PL"
"0090081355","CST LEMONE INDUSTRIAL BLVD","UNKNOWN"
"0090083569","CST WHITEGATE DR","CST TOWNE DR"
"0090083574","CST OLD HWY 63","CST WALNUT ST"
"0090083600","CST BROWN STATION RD","CST N BROWN STATION RD"
"0090083605","CST OAKLAND GRAVEL","CST GRACE ELLEN"
"0090089231","CST THIRD AVE","CST GRAND AVE"
"0090090783","CRD LAKE OF THE WOODS RD","CRD WATERFRONT DR"
"0090013245","CST RICHMOND AVE","PP RICHMOND AVE"
"0090094108","CST MORNING GLORY","CST ROSE"
"0090014503","CST ST CHARLES","CRD RICHLAND RD"
"0090014604","CST BLUFF CREEK DR","CST FALLING LEAF LN"
"0090014956","CST VANDIVER DR","CST WOODARD DR"
"0090014994","CST WHITEGATE DR","CST TOWNE DR"
"0090014995","CST ASH ST","CST BUCKNER ST"
"0090015011","CST GRIZZLY","CST OAKLAND GRAVEL"
"0090098785","CST NIFONG BLVD","CST BAURICHTER DR"
"0090105546","CST UNIVERSITY AVE","CST LAWRENCE PL"
"0090110882","CST FOURTH","CST PECAN"
"0090111313","CST BLACKFOOT RD","UNKNOWN"
"0090114538","CST GARTH AVE","CST FOURTH AVE"
"0090024718","CST BRANDON WOODS","CST SOUTHHAMPTON"
"0090122433","CRD ROCK QUARRY RD","MO 163 S"
"0090031382","CST WALNUT","CST OLD HWY 63"
"0090034508","CST GARTH AVE","CST SEXTON RD E"
"0090038941","CST CHAPEL HILL RD","CST COLONY DR"
"0090038973","CST WEST BLVD","CST SUNSET"
"0090038989","CST WHITEGATE","CST TOWNE"
"0090038997","CST HIGHLANDS PKWY","CST ROYAL LYTHAM"
"0090039006","CST RANGELINE ST","PVT COLUMBIA COLLEGE PKLT"
"0090039465","CST GREEN MEADOWS","CST FORUM BLVD"
"0090039589","CST ROLLINS ST","PVT VIRGINIA"
"0090040414","CST ROCK QUARRY RD","CST STAGS WAY"
"0090044712","CST STAGS CT","CST ROCK CLIFF"
"0090044737","CST CHAPEL HILL RD","CST MATINSHIRE DR S"
"0090048671","CST BRICKTON RD","CST BROADWAY E"
"0090048674","CST MORNINGSIDE","CST WILSON"
"0090051039","CST NEW HAVEN AVE","CST LEMONE INDUSTRIAL BLVD"
"0090051074","CST OLD HWY 63","CST WALNUT"
"0090051102","CST WINDERMERE","CST SMITH DR"
"0090061595","CST FORUM BLVD","CST FORUM PLAZA CT"
"0090061653","CST WAR ADMIRAL DR","CST TOPANGA DR"
"0090073027","CST OLD HWY 63","CST WALNUT ST E"
"0090073052","CST ASH ST","CST FAIRVIEW RD"
"0090073080","CST VANDIVER","CST OAKLAND GRAVEL"
"0090078821","CRD ST CHARLES RD","RT Z"
"0090078878","CST DISCOVERY PKWY","CST PONDEROSA"
"0090078883","CST CEDAR LAKE DR","CST BETHEL"
"0090078891","CST AUGUSTA DR","CST LAQUINTA DR"
"0090081356","CST 8TH ST","CST ELM ST"
"0090088877","CRD OAKLAND GRAVEL RD","CRD PRATHERSVILLE RD"
"0090089241","CST SOUTHAMPTON DR","CST EXECUTIVE DR"
"0090094119","CST FORUM BLVD","CST WOODRAIL AVE"
"0090094128","CST NINTH ST","CST BROADWAY ST"
"0090094145","CST VANDIVER DR","CST OAKLAND GRAVEL"
"0090101518","CRD BETHEL LN","CRD HILLTOP DR"
"0090105560","CST ROCK QUARRY","BRIDGE 093009A"
"0090106501","CST GARTH","CST FOREST AVE"
"0090111287","CST ST CHARLES","CST KIPLING WAY"
"0090111304","CST OAKLAND GRAVEL RD","CST EDRIS DR"
"0090112386","CST BURNAM ST","CST RICHMOND AVE"
"0090113139","CST HITT ST","UNKNOWN"
"0090113143","CST RICHMOND AVE","CST ROLLINS ST"
"0090125167","PP GRINDSTONE PKWY PKLT","UNKNOWN"
"0100011389","CST OLD NIFONG BLVD","CRD BEARFIELD RD"
"0100011393","CST VANDIVER AVE","CST PARKER ST"
"0100011388","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0100011414","CST GRINDSTONE PKWY","CST BREAFIELD DR"
"0100012346","CST ROCK QUARRY RD","CST ROLLING ROCK RD"
"0100012348","CST WHITE GATE DR","CST SYLVAN LN"
"0100012310","CST BLACKFOOT","CST CEDAR CLIFF"
"0100012322","CST ROGERS ST","CST EIGHTH ST"
"0100017441","CST FOREST AVE","CST GARTH AVE"
"0100017443","CST BARBERRY AVE","CST HIBISCUS DR"
"0100017459","CST ROCK QUARRY","PP ROCK QUARRY"
"0100019369","CST OLD PLANK RD","UNKNOWN"
"0100019375","CST CREASY SPRINGS RD","CST JACKSON ST"
"0100019352","CST GARTH AVE","CST FOREST AVE"
"0100019354","CST BUTTONWOOD DR","CST COOPER DR N"
"0100019361","CST SEVENTH ST","CST WALLACE ST E"
"0100023663","CST FORUM BLVD","PVT MKT TRAIL"
"0100023710","CST ROCK QUARRY","CST STAGS WAY"
"0100023732","CST GASCONADE DR","CST PULAKSI DR"
"0100024710","CRD WILCOX RD","RT E"
"0100023726","CST BERNADETTE","CST TIGER LN"
"0100023266","PVT COSMO PARK","LP 70"
"0100023733","CST GODAS","CST VALLEY CREEK"
"0100023717","CST STADIUM","CST EAST POINTE"
"0100025284","CRD WATER FRONT DR","CRD DRIFTWOOD CT"
"0100023720","CST ROCK QUARRY RD","CST STAGS WAY"
"0100023669","CST ARTIC FOX DR","CST RAIN FORREST PKWY"
"0100023727","CST BROWN SCHOOL","CST OAKLAND GRAVEL"
"0100023688","CST BROADWAY ST","CST WESTWOOD AVE"
"0100023705","CST STARKE AVE","CST BROWN STATION RD"
"0100025285","CST LIMOGES DR","CST DOULTON DR"
"0100027165","PP N PROVIDENCE PKLT EXIT","CST PROVIDENCE RD"
"0100031103","CST GRINDSTONE","CST FALLING LEAF LN"
"0100031119","CST WILLIAMS ST","CST WINDSOR ST"
"0100029963","CST ROCK QUARRY RD","CST TELLURIDE LN"
"0100030296","CRD PRATHERSVILLE RD","CST OAKLAND RD"
"0100031118","CST CHAPEL HILL RD","CST CHAPEL PLAZA CT"
"0100031155","CST ARCTIC FOX DR","CST RAIN FOREST PKWY"
"0100032544","CST MARYLAND AVE","PVT KENTUCKY BLVD"
"0100031142","CST CONLEY","CST BRICKTON"
"0100032753","CRD CREASY SPRINGS RD","CRD OBERMILLER RD"
"0100032538","CST STADIUM BLVD","CST UNIVERSITY AVE"
"0100031148","CST SCOTT BLVD","CST PINEBROOK LN N"
"0100031110","CST OLD MILL CREEK RD","CST MILL CREEK CT W"
"0100037710","CST AUSTIN","CST GARTH"
"0100038082","CST FAIRVIEW","CST ASH"
"0100037876","CST OLD HWY 63","CST CHINABERRY DR"
"0100038097","CST OLD HWY 63","PP COPPER BEECH TOWNHOMES ENT"
"0100043741","CST SMILEY LN","CST SADDLEBROOK DR"
"0100042059","CST GREEN MEADOWS CIR","CST GREEN MEADOWS RD"
"0100042063","CST FALL RIVER DR","CST WATERTOWN PL"
"0100037178","CST RIBACK","CST ROCK QUARRY"
"0100043723","CST SCOTT BLVD","CST SUSSEX DR"
"0100037891","CST GREENWOOD AVE","CST GREENWOOD CT"
"0100038096","CST HINKSON","UNKNOWN"
"0100049960","CST EIGHTH ST","CST PARK AVE"
"0100050418","CST BUTTONWOOD DR","CST COOPER DR"
"0100044592","CRD DENNINGHOFF RD","RT UU S"
"0100044599","CST HATTERAS DR","CST DERBY RIDGE DR"
"0100051075","CST RICHMOND AVE","CST ROLLINS ST"
"0100044453","PVT MISSOURI AVE","CST CONLEY AVE"
"0100047234","CST NORTHLAND DR","CST BLUE RIDGE RD"
"0100043746","CST DUNCAN ST","CST BANKS AVE"
"0100044593","CRD EL CHAPARRAL DR","CRD VICTORIA AVE"
"0100042060","CST ROCK QUARRY RD","CST STAGS WAY"
"0100043739","PP NORTH STADIUM PKLT","WEST OF MO 740"
"0100050420","CST VANDIVER","CST WOODARD DR"
"0100050770","CRD AKEMAN BRIDGE RD","CRD KMJ RD"
"0100044451","PVT VIRGINIA AVE","PVT LAKE ST"
"0100051081","CST HITT ST","CST ROLLINS ST"
"0100047241","CST ARLENE DR","CST CALEB CT"
"0100045258","CST HITT ST","CST ROLLINS ST"
"0100060719","CST THORNBROOK PKWY","CST LAREDO TRAIL"
"0100060725","CST STADIUM BLVD","CST LA MIRADA DR"
"0100050389","CST VANDIVER DR","CST WOODARD DR"
"0100050429","CST VANDIVER RD","CST CORPORATE PL"
"0100050446","CST HIGHLANDS CT","CST BENTPATH"
"0100057320","CST TOWNE","CST CLARK"
"0100067222","CST BUTTONWOOD","CST COOPER"
"0100067909","CST ELSDON DR","CST BROOKEDALE CT"
"0100067910","CST CONLEY RD","CST BRICKTON RD"
"0100060706","CST SHEPARD BLVD","CST BOB O LINK DR"
"0100063807","CST FORUM BLVD","CST MILLS DR"
"0100057255","CST BENT OAK DR","PP BENT OAK DR"
"0100060040","CST SMILEY LN","PP SMILEY LN"
"0100067238","CST FOREST","CST GARTH"
"0100067927","CST DERBY RIDGE DR","CST HIGH QUEST CIR"
"0100067937","PVT PRIVATE DR","CST OLD HWY 63"
"0100076328","CST WORLEY","CST PARK DE VILLE PL"
"0100067871","CST CHAPEL HILL RD","CST FACE ROCK"
"0100067900","CST CROWN PT","CST SPRING VALLEY"
"0100077882","CST BURNAM AVE","CST CURTIS AVE"
"0100060685","CST PANORAMA LN","CST ALPINE RIDGE DR"
"0100069724","CRD OLD PLANK RD","CRD TONY ST"
"0100069727","CRD ALFALFA DR","UNKNOWN"
"0100067228","CST THORNBROOK PKWY","CST BEACON FALLS DR"
"0100067895","CST BARBERRY","CST GRAYSON"
"0100019347","CST ROCK QUARRY","CST ROLLING ROCK"
"0100019359","CST FAIRVIEW RD","CST ASH ST"
"0100067915","CST LAKE TOWN DR","CST CEDAR CREST LN"
"0100067886","CST GODAS DR","CST VALLEY CREEK LN"
"0100067923","CST STADIUM BLVD","CST LA MIRADA DR"
"0100076823","CST FAIRVIEW","CST ASH"
"0100087330","CST GRINDSTONE PKWY","CST HYDE PARK AVE"
"0100023265","PP BRICKTON PKLT","CST BROADWAY"
"0100078008","CST ASHLAND RD","CST BURCH DR"
"0100071026","CST ST CHARLES RD","CST BULL RUN"
"0100074951","CRD CREASY SPRINGS RD","CRD FENTON RD"
"0100076818","CST WALNUT ST","CST OLD HWY 63"
"0100076828","CST HOLLY AVE","CST ANDY DR"
"0100076850","CST EASTLAKE DR","UNKNOWN"
"0100076852","CST ROLLING ROCK","CST ROCK CLIFF"
"0100080166","CST GREEN MEADOWS","CST WALMART DR"
"0100080214","CST ANTHONY ST","PP ANTHONY ST"
"0100023696","CST WORLEY ST","CST FAIRVIEW"
"0100023722","CST FORUM BLVD","CST MILLS DR"
"0100076113","CST SCOTT BLVD","CST SUSSEX DR"
"0100080164","CST 4TH ST","CST CHERRY ST"
"0100080172","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0100094917","CST ST CHARLES RD","CST RICHLAND RD"
"0100076820","CST WORLEY","CST STRAWN"
"0100080950","CST ROCK QUARRY RD","CRD GANS RD"
"0100077881","CST ORR ST","CST ASH ST"
"0100097131","CST DUKE ST","CST OXFORD DR"
"0100076840","CST ROCK QUARRY RD","CST STAGS WAY"
"0100087370","CST FAIRVIEW RD","PVT OUTER RING RD"
"0100078002","CST LEE ST","CST ROSS ST"
"0100078304","CRD ST CHARLES RD","CRD LAKE OF THE WOODS RD"
"0100078307","CRD LAKE OF THE WOODS RD","CRD E LIMOGES DR"
"0100084696","CRD HINTON RD","US 63"
"0100080839","CRD DRISKEL RD","CRD MOREAU RD"
"0100089669","CST GREEN MEADOWS","CST FORUM BLVD"
"0100089675","CST ASH ST","CST FIRST ST"
"0100080194","CST CLARK LN","CST HANOVER ST"
"0100031089","CST CONLEY RD","CST BRICKTON RD"
"0100031157","CST BROWN SCHOOL RD","CST NATHANIEL DR"
"0100090352","CST TRIKALLA","CST LAKEWOOD"
"0100032034","CST ROLLINS ST","CST MARYLAND AVE"
"0100087312","CST STATE FARM PKWY","CST GRINDSTON PKWY"
"0100090677","PVT CHAMPIONS DR","MO 740"
"0100032752","CRD GILLESPIE BRIDGE RD","CRD COATS LN"
"0100087313","CST BERNADETTE","PVT MALL DR"
"0100087328","CST BROWN STATION RD","CST EAST BROWN STATION RD"
"0100087355","CST COLLEGE AVE","CST BASS AVE"
"0100087374","CST OLD PLANK RD","CRD MONT ST"
"0100089648","CRD OLD HWY 63","CST HILLCREST"
"0100104372","CRD GRANDVIEW CIR","CRD KNOX DR"
"0100089185","CRD BETHANY DR","PP BETHANY DR"
"0100089647","CST ROCK QUARRY","CST ROLLING ROCK"
"0100090494","CST HITT ST","UNKNOWN"
"0100090672","CST ROLLINS ST","CST WILLIAMS ST"
"0100106560","CST TIGER AVE","CST ROLLINS ST"
"0100087299","CST GRINDSTONE PKWY","CST GREEN MEADOWS"
"0100087337","CST BROADWAY","CST REEDSPORT RIDGE"
"0100107970","CST SOUTHAMPTON DR","CST EXECUTIVE DR"
"0100108023","CST GLENWOOD DR","CST LAKESHORE DR"
"0100089661","CST FAIRVIEW AVE","CST BERNADETTE DR"
"0100090665","CST RICHMOND AVE","CST ROLLINS ST"
"0100097100","CST ROCK QUARRY RD","MO 740"
"0100097105","CST RIVA RIDGE CT","CST DERBY RIDGE DR"
"0100097113","CST FORUM BLVD","CST ROYAL BIRKNALE"
"0100097163","CST ROCK QUARRY RD","CST STAGS WAY"
"0100044457","CST HITT ST","PVT HAMILTON WAY"
"0100044460","CST SIXTH ST","CST STEWART ST"
"0100093509","CST GRANT LN","CST POST OAK"
"0100100813","CST KENNESAW RIDGE","CST CHIPPEWA"
"0100097103","CST FORUM BLVD","CST MKT TRAIL"
"0100097152","CST FORUM BLVD","CST MKT TRAIL"
"0100097177","CRD GILLESPIE BRIDGE RD","CST ROUND ROCK DR"
"0100100805","CST AZTEC BLVD","CST MOHAWK DR"
"0100100822","CST DERBY RIDGE DR","CST HIGH QUEST CIR"
"0100119495","CST AVONDALE PL","CST SHAKERTOWN WAY"
"0100119516","CST NORTHWOOD DR","CST PITCHFORK DR"
"0100119521","CST BERNADETTE DR","CST HUTCHINS"
"0100095961","PVT HOSPITAL DR","MO 763"
"0100101935","CST NEW HAVEN RD","CST BIG TIMBER RD"
"0100101940","CST ROCK QUARRY RD","CST ROLLING ROCK RD"
"0100106547","CST 5TH ST","CST TURNER AVE"
"0100106550","PVT MONK","PVT VIRGINIA"
"0100106567","CST ROLLINS ST","PVT TIGER AVE"
"0100107163","CRD FENTON RD","CRD SYCAMORE HILLS RD"
"0100100815","CST ROCK QUARRY","CST STAGS"
"0100108008","CST NEW HAVEN RD","CRD BIG TIMBER DR"
"0100107978","CST RICE RD","CST PETTIS RD"
"0100108015","CST VANDIVER RD","CST PARKER ST"
"0100101938","CST GREEN MEADOWS RD","PP GRINDSTONE"
"0100106548","CST 6TH ST","CST STEWART RD"
"0100106552","PVT MONK DR","MO 740"
"0100106561","PVT CHAMPIONS DR","MO 740"
"0100109455","CST FARRAR RD","CST CIRCLE DR"
"0100050423","CST CONLEY RD","CST BRICKTON RD"
"0100107238","CST JACKSON","CST MIKEL"
"0100107986","CST FAIRFIEW RD","CST ROLLINS RD"
"0100108022","CST BROADWAY","CST CAPRI ST"
"0100107668","CRD OLIVET RD","CRD RICHLAND RD E"
"0100114916","CST OLD HWY 63","CST SHEPARD"
"0100108012","CST RADCLIFF DR","CST COLBY DR"
"0100114903","CST SYLVAN LN","CST WHITEGATE DR"
"0100116478","CST 9TH ST","PVT WOODSON WAY"
"0100119510","CST CLARK","CST CREEKWOOD"
"0100119538","CST CONLEY RD","PP LOWES PKLT"
"0100119485","CST JUNIPER DR","CST JUNIPER CIR E"
"0100119527","CST BLACK FOOT","CST CEDAR CLIFF"
"0100119537","CST PEABODY RD","PP PEABODY RD"
"0100122657","CST GREEN MEADOWS RD","CST GRAY OAK DR"
"0100116477","PVT MONK DR","MO 760"
"0100060689","CST BRIDEWOOD DR","CST CHADWICK"
"0100123038","CST THIRD AVE","CST GARTH AVE"
"0100117357","CRD OLD PLANK RD","CST TESSA WAY"
"0100119494","CST HIGHRIDGE DR","CST MILLS"
"0100119497","CST FALL RIVER","CST WATERTOWN"
"0100118528","PP HOME DEPOT PKLT","CST CLARK LN"
"0100067881","CST WEST BLVD","CST ROLLINS"
"0100067938","CST THOMAS RD","CST MCCLURE"
"0100074950","CRD CLEARVIEW DR","CRD AUTUMN DR N"
"0100080167","CST FALLOW CT","CST BUTTON BUCK CIR"
"0100080599","CRD OAKLAND GRAVEL RD","PP OAKLAND GRAVEL RD"
"0100087303","CST BUCKNER ST","CST ASH ST"
"0100090662","CST COLLEGE AVE","PVT HOSPITAL DR"
"0100090674","CST TIGER AVE","CST KENTUCKY BLVD"
"0100093502","CST FORUM BLVD","CST KATY LN"
"0100097118","CST STADIUM BLVD","CRD WILCOX RD"
"0100100819","CST WORLEY","CST FAIRVIEW"
"0100106551","CST BURNHAM AVE","CST RICHMOND AVE"
"0100106562","PVT VIRGINIA AVE","CST ROLLINS ST"
"0100108028","CST SOUTHLAND","CST ROCK QUARRY"
"0100011704","CRD CHIMNEY RIDGE RD","UNKNOWN"
"0100012313","CST BINGHAM RD","CST WAYNE RD"
"0100019362","CST FORUM","CST WOODRAIL"
"0100019371","CST ST CHARLES RD","CST RICHLAND"
"0100023716","CST MUD ROCK LN","CST MARBLE CEDAR DR"
"0100114911","CST NEW HAVEN RD","PP NEW HAVEN RD"
"0100029969","CST OLD HWY 63","CST CHINABERRY"
"0100031159","CST ASH ST","CST WEST BLVD"
"0100031464","CST NEW HAVEN RD","PP NEW HAVEN RD"
"0100032025","CST 6TH ST","CST STEWART ST"
"0100037174","CST SANTANA DR","CST SANTANA CIR"
"0100037181","CST BODIE DR","CST EDENTON BLVD"
"0100037486","CRD PRATHERSVILLE RD","CRD MEADOWBROOK"
"0100038074","CST GABRIANNA CT","CST LONGVIEW DR"
"0100118456","CST STEEPLE CHASE","CST AUTUMN RIDGE CT"
"0100118529","CRD KIRCHER RD","CRD DUSTY RHODES LN"
"0100119089","CRD DEMARET DR","CRD HOGAN DR"
"0100043733","CST VOLUNTEER","CST GRACE"
"0100050417","CST FORUM BLVD","CST KATY LN"
"0100050425","CST VANDIVER","CST BASS PRO DR"
"3100004795","CRD RICHLAND RD","CST ST CHARLES RD N"
"0100057251","CRD BROWN SCHOOL RD","CRD KIRSTEN LN"
"0100057515","CRD ST CHARLES RD","CST BULL RUN RD"
"0100060688","CST GARTH CT","CST GARTH"
"0100064347","CST HILLTOP DR","CRD BETHEL LN"
"0100067877","CST EIGHTH ST","CST HICKMAN"
"0100067906","CST HINKSON CREEK","CST MEXICO GRAVEL"
"0100076812","CST BROWN STATION RD","CST LEUPOLD CT"
"0100078302","CRD NEW HAVEN RD","CRD ROLLING HILLS RD"
"0100080176","CST PRINCETON ST","CST COLLEGE PARK"
"0100087314","CST VANCOUVER CIR","DEAD END"
"0100087317","CST DISCOVERY DR","CST DISCOVERY PKWY"
"0100089649","CST FORUM BLVD","CST KATY LN"
"0100095960","CST BURNAM AVE","CST CURTIS AVE"
"0100096698","CST OLD HWY 63","CST WALNUT"
"0100097167","CST HENDRIX","CST SYLVAN"
"0100101930","CST OLD HWY 63","CST BEARFIELD"
"0100101944","CST WORLEY ST","CST FAIRVIEW RD N"
"0100107983","CST CLINKSCALES RD","CST LOWE ST"
"0100114904","CST UNIVERSTIY AVE","CST WILLIAMS ST"
"0110011531","CST ROLLINS ST","CST 5TH ST"
