"crashid","OnLocStreet","AtLocStreet"
"0070084119","CST STARKE LN","CST OAKLAND GRAVEL"
"0070084289","CST FAIRVIEW AVE","CST SEVENTH ST"
"0070091450","CST FORUM","CST WOODRAIL"
"0070085687","CRD OB BROWN RD","CRD NATURE LN"
"0070092370","CST VAWTER SCHOOL","RT TT"
"0070087461","PVT BRADFORD FARMS GRAVEL RD","CST RANGELINE"
"0070082874","CST ST CHARLES RD","CST RICHLAND"
"0070083517","CST BETHEL CHURCH RD","CRD BROOKSIDE LN"
"0070084288","CST VALLEY CREEK LN","CST GODAS"
"0070084309","CST ZINNIA DR","CST HIBISCUS"
"0070079697","CST JOHN GARRY","CST SOUTHAMPTON"
"0070095227","CST RICHMOND AVE","CST CURTIS AVE"
"0070070618","CST BLUE RIDGE","CST NORTHLAND"
"0070070623","CST THORNBERRY DR","CST SAVANNAH CT"
"0070092450","CST VANDIVER DR","CST WESTFALL DR"
"0070092451","CST VANDIVER","CST WESTFALL"
"0070092311","CST EIGHTH ST","CST ROGERS ST"
"0070092374","CST PROVIDENCE RD","CST BROWN SCHOOL"
"0070092436","CST VAWTER SCHOOL RD","CST SPRING CREEK RD"
"0070084131","CST VANDIVER DR","CST WESTFALL DR"
"0070072260","CST LAKE TOWN DR","CST BIG SUR BLVD"
"0070072280","CST FORUM BLVD","CST MILLS DR"
"0070072448","CST FORUM BLVD","CST KATY LN"
"0070072455","CST ARCTIC FOX","CST SMILEY"
"0070095645","CST ASH","CST MCBAINE AVE"
"0070095169","CST FORUM BLVD","PVT MKT TRAIL"
"0070095170","CST PEAR TREE CIR","CST SOUTHAMPTON"
"0070095647","CST VAWTER SCHOOL RD","CST SPRING CREEK"
"0070092405","CST SNOWY OWL DR","CST ARCTIC FOX DR"
"0070087450","PVT HOSPITAL DR","PVT HITT"
"0070095240","CST HILL ST","CST ROLLINS"
"0070095929","CST BERNADETTE DR","CST WORLEY ST"
"0070095181","CST SYLVAN LN","CST WHITEGATE DR"
"0070095183","CST CEDAR LAKE DR","CST BETHEL ST"
"0070095928","CST CREASY SPRINGS","CST PRAIRIE VIEW"
"0070095970","CST SURREY CT","CST TIPTREE CT"
"0070092360","CST ROGERS ST","CST EIGHTH ST"
"0070092380","CST SEVENTH ST","LP 70 E"
"0070108393","CST OLD HWY 63","CST GRINDSTONE CREEK"
"0070108767","CST PRATT","CST RIPLEY"
"0070108791","CST RICE RD","CST LACLEDE DR"
"0070105513","CST SEXTON RD","CST MCBAINE AVE"
"0070105530","CST OLD HWY 63","CST CHINABERRY"
"0070095927","CST GREENSBORO","CST BODIE"
"0070095933","CST ST CHARLES","CST DORADO"
"0070095935","CST CARRIERIDGE DR","CST DORTHY DEAN DR"
"0070105500","CST JENNE HILL","CST JENNE LN"
"0070104790","CST OLD HWY 63","CST WALNUT ST E"
"0070104844","CST SOUTHAMPTON DR","CST BRANDON WOODS CT"
"0070108384","CST FORUM BLVD","CST MILLS DR"
"0070108800","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0070083394","CST RAIN FOREST PKWY","CST ZEBRA DR"
"0070108093","CST ROLLINS ST","CST HITT"
"0070108376","CST ROGERS ST","CST EIGHTH ST"
"0070084115","CST BUTTONWOOD","CST COOPER DR"
"0070112206","CRD ALMOND LN","CRD SHALIMAR DR"
"0070119984","CST TESSA WAY","CST OLD PLANK RD"
"0070112205","CRD LAKE OF THE WOODS RD","CRD ST CHARLES RD"
"0070120053","CST BARBERRY","CST GRAYSON"
"0070105508","CST ROCK QUARRY RD","CST HINKSON CREEK BRIDGE"
"0070105518","CST DIEGO","CST BETHEL"
"0070121739","CRD BROWN SCHOOL RD","CST EDENTON BLVD"
"0070105188","CST OLD HWY 63","CST GRINDSTONE CREEK PARK"
"0070108735","CST CHAPEL HILL","CST CHAPEL PLAZA"
"0070108790","CST LOUISE CIR","CST JUNIPER DR"
"0070108099","CST HITT ST","CST ROLLINS ST"
"0070120011","CST FOURTH AVE","CST PROVIDENCE RD"
"0070108736","CST DERBY RIDGE DR","CST TYPHOON DR"
"0070125287","CRD BROWN SCHOOL RD","CRD CLEARVIEW RD N"
"0070120036","CST MOHAWK AVE","CST MOHAWK CT"
"0070110750","CRD HILL CREEK RD","CRD CAVE CREEK RD"
"0070120477","CST SMILY","CST DERBY RIDGE"
"0070127704","CST OLD HWY 63","BRIDGE A4090"
"0070121481","CST HYDE PARK AVE","DEAD END"
"0070122066","PVT RUSK REHAB DR","LP 70 W"
"0070122079","PVT PARKER HALL DR","CST 6TH ST"
"0070120464","CST FAIRVIEW","CST ASH"
"0070121455","CST FORUM BLVD","CST CRESTWOOD LN"
"0070122073","PVT CHAMPIONS DR","PVT PROVIDENCE POINT"
"0070124181","CRD LAKE OF THE WOODS RD","PP LAKE OF THE WOODS RD"
"0070095598","CST VANDIVER DR","CST OAKLAND GRAVEL RD"
"0070131166","CST RICHMOND AVE","CST BURNAM E"
"0070135335","CST WORLEY ST","CST FAIRVIEW RD"
"0070095921","CST BRISTOL LAKE DR","CST RUTHERFORD DR"
"0070095924","CST ROCK QUARRY","BRIDGE HINKSON CREEK"
"0070095934","CST OLD RT K","CST SOUTHAMPTON DR E"
"0070135762","CST OLD HWY 63","CRD DRIPPING SPRINGS"
"0070119997","CST LINCOLN DR","CST MCBAINE AVE"
"0070131181","CST ROLLINS ST","CST RICHMOND AVE"
"0070133083","CST ASH ST","CST FAIRVIEW RD"
"0070133098","CST FAIRVIEW","CST ASH"
"0070119981","CST SOUTHPARK DR","PP SOUTHPARK DR"
"0070120054","CST GREEN MEADOWS","CST CARTER LN"
"0070122074","PP UMC LOT SG-2","CST CHAMPIONS"
"0070122076","CST CURTIS AVE","CST BURNAM"
"0070133096","CST ROGERS ST","CST TENTH ST"
"0070133110","CST ROGERS ST","CST EIGHTH ST"
"0070134857","CST ROCK QUARRY RD","PP ROCK QUARRY RD"
"0070134871","CST TENTH ST","CST ROGERS ST"
"0070134884","CST OLD HWY 63","CST WALNUT ST E"
"0070135333","CST BERNADETTE DR","PP COLUMBIA MALL DR"
"0070121742","CST NIFONG BLVD","CST STATE FARM PKWY"
"0070135797","CRD SUGAR CREEK DR","CRD DENNINGHOFF RD"
"0070134861","CST STATE FARM PKWY","CST NIFONG BLVD"
"0070140137","CST PINE DR","CST WOODLAWN"
"0070140149","CST SPENCER AVE","CST PATSY LN"
"0070140181","CST DORIS DR","CST PARKLAWN DR"
"0070140214","CRD PRAIRIEVIEW DR","CRD CREASY SPRINGS RD"
"0070132292","CST GREEN MEADOWS","CST GRINDSTONE"
