VehicleId,CrashId,VehicleLicenseState,VehicleLicenseYear,VehicleYear,VehicleMake,VehicleModel,VehicleColorCd1,VehiclecolorCd2,VehicleUsageTypeCd,NumberOfOccupants,VehicleBodyTypeCd,VehicleBusTypeCd,MCATVNumberOfWheels,OtherVehicleTypeCd,CVECargoBodyTypeCd,VehiclePullingOtherUnitCd,GCVWRatingCd,VehiclePublicConveyanceInd,EmergencyVehicleInvolvedInd,EmergencyVehicleOnRunInd,NoVehicleDamageQualCntl,InitialVehicleDamage,InitialImpactNA,InterstateCarrierInd,HazardousMaterialPresent,HazardousMaterialInvolved,PlacardDisplayed,HazmatClass,HazmatPlacardDiaNumber,HazardousMaterialReleased,DriverPresenceCd,OwnerDriverInd,OperatorLicenseState,OperatorLicenseType,DriverLicenseClass,MotorcycleQualified,OperatorLicenseStatus,InsuredDriverVehicleInd,InsuranceInd,InsuranceExpired,PreCrashTravelDirection,TrafficCondition,TrafficCntlMalfunctionInd,WorkZoneInd,WorkerPresentInd,TrafficCntlElectricalSignal,PedalcycleToFromSchoolInd,TowedFromScene,TowedBecauseDisabled,InitialImpactInd,AnimalCd1,AnimalCd2,AnimalCd3,AnimalCd4,VehicleActionCd1,VehicleActionCd2,VehicleActionCd3,VehicleActionCd4,VehicleActionCd5,VehicleActionCd6,VehicleActionCd7,VehicleActionCd8,VehicleActionCd9,VehicleActionCd10,VehicleActionCd11,VehicleActionCd12,VehicleActionCd13,VehicleActionCd14,VehicleActionCd15,TrafficControlOtherCd1,TrafficControlOtherCd2,TrafficControlOtherCd3,TrafficControlOtherCd4,TrafficControlOtherCd5,TrafficControlOtherCd6,TrafficControlOtherCd7,TrafficControlOtherCd8,TrafficControlOtherCd9,TrafficControlOtherCd10,DamageCd1,DamageCd2,DamageCd3,DamageCd4,DamageCd5,DamageCd6,DamageCd7,DamageCd8,DamageCd9,DamageCd10,DamageCd11,DamageCd12,DamageCd13,DamageCd14,DamageCd15,DamageCd16,DamageCd17,DamageCd18,DamageCd19,DamageCd20,DamageCd21,DamageCd22,DamageCd23,DamageCd24,DamageCd25,FixedObjectCd1,FixedObjectCd2,FixedObjectCd3,FixedObjectCd4,FixedObjectCd5,FixedObjectCd6,FixedObjectCd7,FixedObjectCd8,VisionObstructedCd1,VisionObstructedCd2,VisionObstructedCd3,VisionObstructedCd4,VisionObstructedCd5
0150026266V2,0150026266,MO,2016,2008,MITS,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,2,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,S,NA,NA,N,NA,12,NA,N,N,,,,,,1,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014585V2,0150014585,MO,2015,2012,LEXS,,UNK,NA,1,1,3,N,NA,NA,NA,N,NA,N,NA,,N,9,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,NA,N,N,NA,13,NA,N,N,,,,,,3,12,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014586V1,0150014586,MO,2016,2008,MERC,,UNK,NA,1,2,3,N,NA,NA,NA,N,NA,N,NA,,N,7,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,E,NA,N,N,NA,15,NA,Y,Y,,,,,,12,5,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014588V1,0150014588,MO,2015,2002,MITS,,UNK,NA,1,2,1,N,NA,NA,NA,N,NA,N,NA,,N,2,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,E,NA,NA,N,NA,12,NA,Y,Y,,,,,,1,20,36,29,7,27,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,12,,,,
0150020787V2,0150020787,MO,2016,2010,HOND,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,E,3,N,N,NA,13,NA,N,N,,,,,,12,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020790V1,0150020790,MO,2016,2012,HOND,,NA,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,2,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,W,NA,N,N,NA,12,NA,N,N,,,,,,1,34,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020791V1,0150020791,MO,2015,1993,BUIC,,NA,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,E,NA,N,N,NA,12,NA,N,N,,,,,,1,8,5,34,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020798V1,0150020798,MO,2015,2003,PONT,,NA,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,N,NA,N,N,NA,13,NA,Y,Y,,,,,,1,5,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150021219V2,0150021219,MO,2015,1999,CHEV,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,4,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,N,NA,N,N,NA,13,NA,N,N,,,,,,5,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150021278V1,0150021278,TX,2018,2010,TOYT,,WHI,NA,1,2,1,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,E,NA,NA,N,NA,12,NA,Y,N,,,,,,1,5,1,6,11,34,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
